Neighborhood,Campus,Distance_km,Campus_Access_Score_0_100
Pointe-Claire,Concordia Loyola Campus,13.08,50.4
Pointe-Claire,McGill Macdonald Campus,11.21,77.1
L'Île-Bizard-Sainte-Geneviève,McGill Downtown Campus,25.52,19.2
L'Île-Bizard-Sainte-Geneviève,Concordia SGW Campus,25.36,19.1
L'Île-Bizard-Sainte-Geneviève,UQAM,26.92,18.2
L'Île-Bizard-Sainte-Geneviève,Université de Montréal,22.5,21.3
L'Île-Bizard-Sainte-Geneviève,Concordia Loyola Campus,20.94,18.4
L'Île-Bizard-Sainte-Geneviève,McGill Macdonald Campus,10.01,80.1
Dollard-des-Ormeaux,McGill Downtown Campus,18.81,42.0
Dollard-des-Ormeaux,Concordia SGW Campus,18.61,42.7
Dollard-des-Ormeaux,UQAM,20.28,38.9
Dollard-des-Ormeaux,Université de Montréal,15.79,46.5
Dollard-des-Ormeaux,Concordia Loyola Campus,14.14,46.1
Dollard-des-Ormeaux,McGill Macdonald Campus,13.13,72.3
Montréal-Est,McGill Downtown Campus,14.34,57.2
Montréal-Est,Concordia SGW Campus,15.18,54.6
Montréal-Est,UQAM,12.89,62.0
Montréal-Est,Université de Montréal,15.65,47.0
Montréal-Est,Concordia Loyola Campus,20.96,18.3
Montréal-Est,McGill Macdonald Campus,40.72,3.5
Rivière-des-Prairies-Pointe-aux-Trembles,McGill Downtown Campus,17.38,46.9
Rivière-des-Prairies-Pointe-aux-Trembles,Concordia SGW Campus,18.22,44.0
Rivière-des-Prairies-Pointe-aux-Trembles,UQAM,16.03,52.2
Rivière-des-Prairies-Pointe-aux-Trembles,Université de Montréal,18.36,36.9
Rivière-des-Prairies-Pointe-aux-Trembles,Concordia Loyola Campus,23.68,7.3
Rivière-des-Prairies-Pointe-aux-Trembles,McGill Macdonald Campus,42.13,0.0
